Name,1ÿ(1-74),2ÿ(85-13),3ÿ(60-36),4ÿ(93-0),5ÿ(60-39),6ÿ(40-59),7ÿ(38-61),8ÿ(37-61),9ÿ(72-26),10ÿ(98-0),11ÿ(98-0),12ÿ(63-32),13ÿ(38-58),14ÿ(40-59),15ÿ(40-59),16ÿ(39-58),17ÿ(39-58),18ÿ(37-60),19ÿ(52-46),20ÿ(24-74),21ÿ(37-61),22ÿ(40-58),23ÿ(39-56),24ÿ(40-54),25ÿ(40-54),26ÿ(46-49),27ÿ(38-61),28ÿ(46-53),29ÿ(69-31),30ÿ(41-59),31ÿ(42-58),32ÿ(48-52),33ÿ(40-60),34ÿ(42-58),35ÿ(47-53),36ÿ(41-58),37ÿ(41-58),38ÿ(38-61),39ÿ(44-55),40ÿ(99-0),41ÿ(43-56),42ÿ(73-26),43ÿ(99-0),44ÿ(74-25),45ÿ(44-49),46ÿ(100-0),47ÿ(45-55),48ÿ(56-43),49ÿ(50-50),50ÿ(46-54),51ÿ(46-52),52ÿ(49-51),53ÿ(50-50),54ÿ(96-4),55ÿ(47-53),56ÿ(63-37),57ÿ(49-51),58ÿ(52-48),59ÿ(49-51),60ÿ(49-50),61ÿ(44-56),62ÿ(100-0),63ÿ(40-59),64ÿ(63-37),65ÿ(49-51),66ÿ(68-31),67ÿ(73-26),68ÿ(51-49),69ÿ(46-54),70ÿ(45-55),71ÿ(45-54),72ÿ(81-19),73ÿ(94-6),74ÿ(55-45),75ÿ(47-53),76ÿ(45-54),77ÿ(44-54),78ÿ(45-55),79ÿ(37-63),80ÿ(53-46),81ÿ(51-49),,
Akaka (D-HI),,,,,,9-Feb-05,9-Feb-05,10-Feb-05,,15-Feb-05,17-Feb-05,,1-Mar-05,2-Mar-05,2-Mar-05,2-Mar-05,2-Mar-05,2-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,7-Mar-05,,8-Mar-05,-1,8-Mar-05,9-Mar-05,9-Mar-05,9-Mar-05,9-Mar-05,9-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,,10-Mar-05,,14-Mar-05,15-Mar-05,15-Mar-05,,15-Mar-05,15-Mar-05,16-Mar-05,,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,,
Alexander (R-TN),,26-Jan-05,3-Feb-05,7-Feb-05,9-Feb-05,,,,10-Feb-05,15-Feb-05,17-Feb-05,1-Mar-05,,,,,,,,,,,,,,,,,8-Mar-05,,,,,,,,,,,10-Mar-05,,10-Mar-05,10-Mar-05,10-Mar-05,,15-Mar-05,,15-Mar-05,,,,,,16-Mar-05,,,17-Mar-05,,,,,17-Mar-05,,,,,,,,,,,17-Mar-05,17-Mar-05,,,,,,,17-Mar-05,,
Allard (R-CO),,26-Jan-05,3-Feb-05,7-Feb-05,9-Feb-05,,,,10-Feb-05,15-Feb-05,17-Feb-05,1-Mar-05,,,,,,,,,,,,,,,,,8-Mar-05,,,,,,,,,,,10-Mar-05,,10-Mar-05,10-Mar-05,10-Mar-05,,15-Mar-05,,15-Mar-05,,,,,,16-Mar-05,,,17-Mar-05,,,,,17-Mar-05,,,,,17-Mar-05,,,,,,,17-Mar-05,,,,,,,17-Mar-05,,
Allen (R-VA),,26-Jan-05,3-Feb-05,7-Feb-05,9-Feb-05,,,,10-Feb-05,15-Feb-05,17-Feb-05,1-Mar-05,,,,,,,,,,,,,,,7-Mar-05,,8-Mar-05,,,,,,,,,,,10-Mar-05,,10-Mar-05,10-Mar-05,10-Mar-05,,15-Mar-05,,15-Mar-05,,,,,,16-Mar-05,,16-Mar-05,17-Mar-05,,,,,17-Mar-05,,17-Mar-05,,17-Mar-05,17-Mar-05,,,,,17-Mar-05,17-Mar-05,17-Mar-05,,,,,,17-Mar-05,17-Mar-05,,
Baucus (D-MT),,26-Jan-05,,7-Feb-05,,9-Feb-05,9-Feb-05,10-Feb-05,,,17-Feb-05,1-Mar-05,,2-Mar-05,,2-Mar-05,2-Mar-05,,3-Mar-05,,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,,,8-Mar-05,-1,8-Mar-05,9-Mar-05,9-Mar-05,,9-Mar-05,,10-Mar-05,10-Mar-05,,,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,14-Mar-05,15-Mar-05,15-Mar-05,,15-Mar-05,15-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,,17-Mar-05,17-Mar-05,,,17-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,,
Bayh (D-IN),,,,7-Feb-05,,9-Feb-05,,,10-Feb-05,15-Feb-05,17-Feb-05,,1-Mar-05,2-Mar-05,2-Mar-05,2-Mar-05,2-Mar-05,2-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,7-Mar-05,,8-Mar-05,-1,8-Mar-05,9-Mar-05,9-Mar-05,,9-Mar-05,9-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,,10-Mar-05,10-Mar-05,,10-Mar-05,10-Mar-05,14-Mar-05,15-Mar-05,15-Mar-05,,15-Mar-05,15-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,,
Bennett (R-UT),,26-Jan-05,3-Feb-05,7-Feb-05,9-Feb-05,,,,10-Feb-05,15-Feb-05,17-Feb-05,1-Mar-05,,,,,,,,,,,,,,,7-Mar-05,,8-Mar-05,,,,,,,,,,,10-Mar-05,,10-Mar-05,10-Mar-05,10-Mar-05,,15-Mar-05,,15-Mar-05,,,,,,16-Mar-05,,16-Mar-05,17-Mar-05,,,,,17-Mar-05,,,,,17-Mar-05,,,,,17-Mar-05,17-Mar-05,17-Mar-05,,,,,,,17-Mar-05,,
Biden (D-DE),,26-Jan-05,,7-Feb-05,,9-Feb-05,9-Feb-05,10-Feb-05,,15-Feb-05,,1-Mar-05,,,,,,,3-Mar-05,,,,3-Mar-05,,3-Mar-05,7-Mar-05,,8-Mar-05,8-Mar-05,,9-Mar-05,9-Mar-05,9-Mar-05,,9-Mar-05,,10-Mar-05,,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,14-Mar-05,15-Mar-05,15-Mar-05,,15-Mar-05,15-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,,
Bingaman (D-NM),,26-Jan-05,,7-Feb-05,,9-Feb-05,9-Feb-05,10-Feb-05,10-Feb-05,15-Feb-05,17-Feb-05,,1-Mar-05,2-Mar-05,2-Mar-05,2-Mar-05,,,3-Mar-05,,,3-Mar-05,3-Mar-05,3-Mar-05,3-Mar-05,7-Mar-05,,8-Mar-05,-1,8-Mar-05,9-Mar-05,9-Mar-05,9-Mar-05,9-Mar-05,9-Mar-05,10-Mar-05,,,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,10-Mar-05,14-Mar-05,15-Mar-05,15-Mar-05,,15-Mar-05,15-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,16-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,17-Mar-05,17-Mar-05,17-Mar-05,17-Mar-05,,17-Mar-05,,,
Bond (R-MO),,26-Jan-05,3-Feb-05,7-Feb-05,9-Feb-05,,,,10-Feb-05,15-Feb-05,17-Feb-05,1-Mar-05,,,,,,,,,,,,,,,,,8-Mar-05,,,,,,,,,,,10-Mar-05,,10-Mar-05,10-Mar-05,10-Mar-05,,15-Mar-05,,15-Mar-05,,,,,,16-Mar-05,,,17-Mar-05,,,,,17-Mar-05,,,,17-Mar-05,17-Mar-05,,,,,17-Mar-05,17-Mar-05,17-Mar-05,,,,,,,17-Mar-05,,
